iter	Passed	Remaining
636	1185	675
637	1187	673
638	1188	671
639	1191	670
640	1192	668
641	1194	666
642	1196	664
643	1198	662
644	1200	660
645	1202	659
646	1204	657
647	1206	655
648	1207	653
649	1209	651
650	1211	649
651	1212	647
652	1214	645
653	1215	643
654	1217	641
655	1218	638
656	1220	636
657	1221	634
658	1223	632
659	1224	630
660	1225	628
661	1227	626
662	1229	624
663	1230	622
664	1232	620
665	1234	618
666	1235	616
667	1237	614
668	1238	612
669	1239	610
670	1241	608
671	1242	606
672	1244	604
673	1245	602
674	1247	600
675	1249	598
676	1251	596
677	1253	595
678	1254	593
679	1256	591
680	1258	589
681	1259	587
682	1261	585
683	1262	583
684	1264	581
685	1266	579
686	1267	577
687	1270	575
688	1272	574
689	1274	572
690	1276	570
691	1278	568
692	1280	567
693	1281	565
694	1283	563
695	1285	561
696	1286	559
697	1288	557
698	1290	555
699	1291	553
700	1293	551
701	1295	550
702	1297	548
703	1298	546
704	1300	544
705	1301	542
706	1303	540
707	1304	538
708	1306	536
709	1307	533
710	1308	531
711	1310	530
712	1311	528
713	1313	526
714	1315	524
715	1317	522
716	1318	520
717	1320	518
718	1321	516
719	1323	514
720	1324	512
721	1326	510
722	1327	508
723	1329	506
724	1330	504
725	1332	502
726	1333	500
727	1335	498
728	1336	496
729	1338	495
730	1340	493
731	1342	491
732	1344	489
733	1347	488
734	1348	486
735	1350	484
736	1352	482
737	1354	480
738	1356	479
739	1358	477
740	1359	475
741	1361	473
742	1362	471
743	1364	469
744	1365	467
745	1366	465
746	1368	463
747	1370	461
748	1371	459
749	1373	457
750	1374	455
751	1376	453
752	1377	451
753	1379	449
754	1380	447
755	1381	445
756	1383	443
757	1384	442
758	1385	440
759	1387	438
760	1388	436
761	1390	434
762	1391	432
763	1392	430
764	1394	428
765	1396	426
766	1397	424
767	1399	422
768	1400	420
769	1402	419
770	1404	417
771	1406	415
772	1407	413
773	1409	411
774	1410	409
775	1412	407
776	1413	405
777	1415	403
778	1416	401
779	1417	399
780	1419	397
781	1420	395
782	1421	393
783	1422	392
784	1424	390
785	1425	388
786	1427	386
787	1428	384
788	1429	382
789	1431	380
790	1432	378
791	1434	376
792	1435	374
793	1436	372
794	1438	370
795	1439	368
796	1440	367
797	1442	365
798	1443	363
799	1445	361
800	1446	359
801	1448	357
802	1449	355
803	1450	353
804	1452	351
805	1453	349
806	1454	347
807	1456	345
808	1457	344
809	1458	342
810	1459	340
811	1461	338
812	1462	336
813	1463	334
814	1465	332
815	1466	330
816	1468	328
817	1470	327
818	1472	325
819	1473	323
820	1475	321
821	1476	319
822	1478	317
823	1479	316
824	1480	314
825	1481	312
826	1483	310
827	1484	308
828	1485	306
829	1486	304
830	1488	302
831	1489	300
832	1490	298
833	1491	296
834	1493	295
835	1495	293
836	1497	291
837	1499	289
838	1500	287
839	1501	286
840	1503	284
841	1504	282
842	1506	280
843	1507	278
844	1508	276
845	1509	274
846	1511	272
847	1512	271
848	1513	269
849	1514	267
850	1516	265
851	1517	263
852	1518	261
853	1519	259
854	1521	258
855	1522	256
856	1524	254
857	1525	252
858	1527	250
859	1528	248
860	1529	246
861	1531	245
862	1532	243
863	1533	241
864	1535	239
865	1536	237
866	1537	235
867	1538	233
868	1540	232
869	1541	230
870	1542	228
871	1543	226
872	1545	224
873	1546	222
874	1548	221
875	1549	219
876	1550	217
877	1551	215
878	1553	213
879	1554	211
880	1555	210
881	1557	208
882	1558	206
883	1560	204
884	1561	202
885	1563	201
886	1564	199
887	1565	197
888	1567	195
889	1568	193
890	1569	192
891	1570	190
892	1572	188
893	1573	186
894	1574	184
895	1576	182
896	1577	181
